bnumber	symbol	synonyms	type
b0985	gfcC	ECK0976|ymcB	protein-coding
b2452	eutH	ECK2447|yffU	protein-coding
b0307	ykgF	ECK0306	protein-coding
b0313	betI	ECK0311	protein-coding
b3017	ftsP	ECK3008|sufI|sui	protein-coding
b1059	solA	ECK1044	protein-coding
b0323	yahI	ECK0321	protein-coding
b0329	yahO	ECK0327	protein-coding
b0357	frmR	ECK0354|yaiN	protein-coding
b0330	prpR	ECK0328|yahP	protein-coding
b0356	frmA	ECK0353|adhC	protein-coding
b0171	pyrH	ECK0170|smbA|umk	protein-coding
b0331	prpB	ECK0329|yahQ	protein-coding
b0355	frmB	ECK0352|yaiM	protein-coding
b0354	yaiL	ECK0351	protein-coding
b0336	codB	ECK0333	protein-coding
b0337	codA	ECK0334	protein-coding
b0353	mhpT	ECK0350|yaiK	protein-coding
b0950	pqiA	ECK0941|pqi5|pqi5A	protein-coding
b0621	dcuC	ECK0614	protein-coding
b0338	cynR	ECK0335	protein-coding
b0164	yaeI	ECK0163	protein-coding
b0571	cusR	ECK0563|ylcA	protein-coding
b0741	pal	ECK0730|excC	protein-coding
b1048	opgG	ECK1034|mdoA|mdoG	protein-coding
b0344	lacZ	ECK0341	protein-coding
b0345	lacI	ECK0342	protein-coding
b0351	mhpF	ECK0348	protein-coding
b0988	insB4	ECK0022	protein-coding
b0283	paoD	ECK0282|yagQ	protein-coding
b0054	lptD	ECK0055|imp|ostA|yabG	protein-coding
b0352	mhpE	ECK0349	protein-coding
b0237	pepD	ECK0238|pepH	protein-coding
b0358	yaiO	ECK0355	protein-coding
b0272	xynR	ECK0273|yagI	protein-coding
b0369	hemB	ECK0366|ncf	protein-coding
b0173	dxr	ECK0172|ispC|yaeM	protein-coding
b0368	tauD	ECK0365|ssiD|yaiG	protein-coding
b1061	dinI	ECK1046	protein-coding
b0969	tusE	ECK0960|yccK	protein-coding
b0542	renD	ECK0533|ybcE	pseudo
b0360	insC1	ECK0357|yi21-1	protein-coding
b0367	tauC	ECK0364|ssiC|yaiJ	protein-coding
b0366	tauB	ECK0363|ssiB|yaiQ	protein-coding
b2845	yqeG	ECK2843	protein-coding
b0987	gfcA	ECK0978|ymcD	protein-coding
b0365	tauA	ECK0362|ssiA|yaiR	protein-coding
b0388	aroL	ECK0383	protein-coding
b2779	eno	ECK2773	protein-coding
b0387	yaiI	ECK0382	protein-coding
b0386	proC	ECK0381|Pro2|pro(3)|pro3	protein-coding
b0322	yahH	ECK0320	protein-coding
b0372	insF2	ECK0299|tra5-1	protein-coding
b0385	dgcC	ECK0380|adrA|yaiC	protein-coding
b0378	yaiW	ECK0373	protein-coding
b0056	yabP	ECK0057|b4659	protein-coding
b0384	psiF	ECK0379	protein-coding
b0383	phoA	ECK0378|psiA	protein-coding
b0401	brnQ	ECK0395|hrbA	protein-coding
b0389	yaiA	ECK0384	protein-coding
b0400	phoR	ECK0394|R1pho|nmpB|phoR1	protein-coding
b0390	aroM	ECK0385	protein-coding
b0399	phoB	ECK0393|phoRc|phoT	protein-coding
b0348	mhpB	ECK0345	protein-coding
b0391	ppnP	ECK0386|yaiE	protein-coding
b0398	sbcD	ECK0392|yajA	protein-coding
b0402	proY	ECK0396|yajM	protein-coding
b0410	yajD	ECK0404	protein-coding
b2940	yqgC	ECK2935	protein-coding
b2621	ssrA	ECK2617|sipB	other
b0416	nusB	ECK0410|groNB|ssaD|ssyB	protein-coding
b2313	cvpA	ECK2307|dedE	protein-coding
b4342	yjiT	ECK4333	protein-coding
b2746	ispF	ECK2741|ygbB	protein-coding
b0427	yajR	ECK0421	protein-coding
b2534	yfhR	ECK2531	protein-coding
b0420	dxs	ECK0414|yajP	protein-coding
b1908	yecA	ECK1907	protein-coding
b2638	yfjU	ECK2634	protein-coding
b0426	yajQ	ECK0420	protein-coding
b0421	ispA	ECK0415	protein-coding
b0425	panE	ECK0419|apbA	protein-coding
b0424	yajL	ECK0418|thiJ	protein-coding
b0423	thiI	ECK0417|nuvA|yajK	protein-coding
b0755	gpmA	ECK0744|gpm	protein-coding
b0422	xseB	ECK0416|yajE	protein-coding
b0453	ybaY	ECK0447	protein-coding
b0467	priC	ECK0461	protein-coding
b1301	puuB	ECK1296|ordL|ycjA	protein-coding
b0428	cyoE	ECK0422	protein-coding
b0452	tesB	ECK0446	protein-coding
b1013	rutR	ECK1004|ycdC	protein-coding
b0072	leuC	ECK0074	protein-coding
b0240	crl	ECK0241	pseudo
b2618	yfjF	ECK2614|ratB	protein-coding
b0314	betT	ECK0312	protein-coding
b0432	cyoA	ECK0426	protein-coding
b0436	tig	ECK0430	protein-coding
b0437	clpP	ECK0431|lopP	protein-coding
b0438	clpX	ECK0432|lopC	protein-coding
b0451	amtB	ECK0445|ybaG	protein-coding
b0439	lon	ECK0433|capR|deg|dir|lopA|muc	protein-coding
b3037	ygiB	ECK3028	protein-coding
b0450	glnK	ECK0444|ybaI	protein-coding
b0449	mdlB	ECK0443|mdl	protein-coding
b0446	cof	ECK0440	protein-coding
b1167	ymgC	ECK1154	protein-coding
b0447	decR	ECK0441|cyuR|ybaO	protein-coding
b0448	mdlA	ECK0442|mdl	protein-coding
b2682	ygaZ	ECK2676	protein-coding
b0454	ybaZ	ECK0448|atl	protein-coding
b1696	ydiP	ECK1694	protein-coding
b0459	maa	ECK0453|ylaD	protein-coding
b0474	adk	ECK0468|dnaW|plsA	protein-coding
b0460	hha	ECK0454	protein-coding
b0473	htpG	ECK0467	protein-coding
b0472	recR	ECK0466	protein-coding
b0812	dps	ECK0801|pexB|vtm	protein-coding
b0890	ftsK	ECK0881|dinH	protein-coding
b1597	asr	ECK1592	protein-coding
b0471	ybaB	ECK0465	protein-coding
b0470	dnaX	ECK0464|dnaZ	protein-coding
b0461	tomB	ECK0455|ybaJ	protein-coding
b3796	argX	ECK3789	tRNA
b0462	acrB	ECK0456|acrE	protein-coding
b1263	trpD	ECK1257|trpGD	protein-coding
b0717	ybgP	ECK0706	protein-coding
b2683	ygaH	ECK2677	protein-coding
b0463	acrA	ECK0457|Mb|lir|mbl|mtcA|nbsA|sipB	protein-coding
b0469	apt	ECK0463	protein-coding
b0499	ylbH	ECK0493|rhsH	pseudo
b0498	ybbC	ECK0492	protein-coding
b0497	rhsD	ECK0491	protein-coding
b1604	ydgH	ECK1599	protein-coding
b0496	ybbP	ECK0490	protein-coding
b0479	fsr	ECK0473	protein-coding
b2767	ygcO	ECK2762	protein-coding
b1459	yncI	ECK1452|ECK1453|b1458|yncM	pseudo
b0495	ybbA	ECK0489	protein-coding
b2765	queD	ECK2760|sscR|ygcM	protein-coding
b0482	ybaP	ECK0476	protein-coding
b2934	cmtB	ECK2929|tolM	protein-coding
b0488	ybbJ	ECK0482	protein-coding
b0494	tesA	ECK0488|apeA|pldC	protein-coding
b1256	ompW	ECK1250|yciD	protein-coding
b0514	glxK	ECK0507|glxB5|ybbZ	protein-coding
b2259	pmrD	ECK2253	protein-coding
b0513	ybbY	ECK0506|glxB4	protein-coding
b0465	mscK	ECK0459|aefA|kefA	protein-coding
b0501	ybbD	ECK0494|b0500	pseudo
b0512	allB	ECK0505|glxB3|ybbX	protein-coding
b1610	tus	ECK1605|tau	protein-coding
b2276	nuoN	ECK2270	protein-coding
b0491	fetB	ECK0485|ybbM	protein-coding
b0511	allW	ECK0504|allP|glxB2|ybbW	protein-coding
b0504	allS	ECK0497|glxA1|ybbS	protein-coding
b1726	yniB	ECK1724	protein-coding
b0505	allA	ECK0498|glxA2|ybbT	protein-coding
b2104	thiM	ECK2097	protein-coding
b1855	lpxM	ECK1856|mlt|msbB|waaN	protein-coding
b0466	ybaM	ECK0460	protein-coding
b0509	glxR	ECK0502|glxB1|ybbQ	protein-coding
b0549	ybcO	ECK0540	protein-coding
b2868	xdhC	ECK2864|ygeU	protein-coding
b0515	allE	ECK0508|glxB6|ughY|ylbA	protein-coding
b0516	allC	ECK0509|glxB7|ylbB	protein-coding
b0548	ninE	ECK0539	protein-coding
b1716	rplT	ECK1714|pdzA	protein-coding
b0522	purK	ECK0515|purE2	protein-coding
b2039	rfbA	ECK2033|rmlA|som	protein-coding
b0527	ybcI	ECK0520	protein-coding
b1607	ydgC	ECK1602	protein-coding
b0528	ybcJ	ECK0521	protein-coding
b1605	ydgI	ECK1600|arcD	protein-coding
b0532	sfmD	ECK0525	protein-coding
b0536	argU	ECK0529|dnaY|pin	tRNA
b0547	ybcN	ECK0538	protein-coding
b0546	ybcM	ECK0537	protein-coding
b0879	macB	ECK0870|ybjZ	protein-coding
b0545	ybcL	ECK0536	protein-coding
b0544	ybcK	ECK0535	protein-coding
b2912	fau	ECK2907|ygfA	protein-coding
b2506	yfgI	ECK2502	protein-coding
b0562	ybcY	ECK0554	pseudo
b0561	tfaD	ECK0553|ybcX	protein-coding
b0560	nohD	ECK0552|nohB	protein-coding
b2936	loiP	ECK2931|yggG	protein-coding
b0550	rusA	ECK0541|rus|ybcP	protein-coding
b0559	ybcW	ECK0551	protein-coding
b0706	ybfD	ECK0695	protein-coding
b0551	quuD	ECK0543|ybcQ	protein-coding
b0558	ybcV	ECK0550	protein-coding
b2035	wbbH	ECK2029|rfc|yefF	protein-coding
b0587	fepE	ECK0580	protein-coding
b0585	fes	ECK0577	protein-coding
b2994	hybC	ECK2988	protein-coding
b0563	tfaX	ECK0555|ylcE	protein-coding
b0586	entF	ECK0579	protein-coding
b0565	ompT	ECK0557	protein-coding
b0567	ybcH	ECK0559	protein-coding
b2207	napD	ECK2199|yojF	protein-coding
b0573	cusF	ECK0565|cusX|ylcC	protein-coding
b0574	cusB	ECK0566|ylcD	protein-coding
b3185	rpmA	ECK3174|rpz	protein-coding
b0575	cusA	ECK0567|ybdE	protein-coding
b1929	yedE	ECK1928	protein-coding
b0584	fepA	ECK0576|cbr|cbt|fep|feuB	protein-coding
b0583	entD	ECK0575	protein-coding
b0520	ylbF	ECK0513	protein-coding
b2524	iscX	ECK2521|yfhJ	protein-coding
b0347	mhpA	ECK0344	protein-coding
b0004	thrC	ECK0004	protein-coding
b0576	pheP	ECK0568	protein-coding
b0582	insL2	ECK0016|yi81-2	protein-coding
b0588	fepC	ECK0581	protein-coding
b0361	insD1	ECK0358|yi22-1	protein-coding
b1068	yceM	ECK1053|mviM	protein-coding
b0602	ybdN	ECK0596	protein-coding
b0601	ybdM	ECK0595	protein-coding
b1372	stfR	ECK1367|ynaB	protein-coding
b1659	punR	ECK1655|ydhB	protein-coding
b0589	fepG	ECK0582	protein-coding
b1655	mepH	ECK1651|ydhO	protein-coding
b0600	ybdL	ECK0594	protein-coding
b0599	hcxA	ECK0593|ybdH	protein-coding
b0598	cstA	ECK0591|ybdC	protein-coding
b0590	fepD	ECK0583	protein-coding
b0597	entH	ECK0590|ybdB	protein-coding
b0603	citR	ECK0597|ybdO	protein-coding
b0630	lipB	ECK0623|cde|lip	protein-coding
b0650	hscC	ECK0643|ybeW	protein-coding
b0629	ybeF	ECK0622	protein-coding
b0631	ybeD	ECK0624	protein-coding
b0529	folD	ECK0522|ads	protein-coding
b0632	dacA	ECK0625|pfv	protein-coding
b0379	yaiY	ECK0374	protein-coding
b0604	dsbG	ECK0598|ybdP	protein-coding
b0605	ahpC	ECK0599|ssi8|tpx	protein-coding
b1658	purR	ECK1654	protein-coding
b0628	lipA	ECK0621|lip	protein-coding
b0627	tatE	ECK0620|ybeC	protein-coding
b0607	uspG	ECK0601|UP12|ybdQ|yzzU	protein-coding
b0615	citF	ECK0608|ybdV	protein-coding
b0618	citC	ECK0611|ybeO	protein-coding
b0619	dpiB	ECK0612|citA|mpdB|ybeP	protein-coding
b2036	glf	ECK2030|yefE	protein-coding
b0982	etp	ECK0973|yccY	protein-coding
b0637	rsfS	ECK0630|rsfA|ybeB	protein-coding
