bnumber	symbol	synonyms	type
b1370	insH5	ECK0261|trs5-5|yi52_5	protein-coding
b1496	yddA	ECK1490	protein-coding
b1382	ynbE	ECK1379	protein-coding
b0937	ssuE	ECK0928|ssi4|ycbP	protein-coding
b1376	uspF	ECK1371|UP03|ynaF|yzzL	protein-coding
b1381	ydbH	ECK1378	protein-coding
b1337	abgB	ECK1333|ydaI	protein-coding
b1329	mppA	ECK1326|ynaH	protein-coding
b1402	insD2	ECK0358|yi22-2	protein-coding
b1340	smrA	ECK1337|ydaL	protein-coding
b1387	paaZ	ECK1384|maoC|ydbN	protein-coding
b1470	yddJ	ECK1464	pseudo
b1390	paaC	ECK1387|ydbP	protein-coding
b1498	ydeN	ECK1492	protein-coding
b1391	paaD	ECK1388|ydbQ	protein-coding
b1669	ydhT	ECK1665	protein-coding
b1495	yddB	ECK1489	protein-coding
b1392	paaE	ECK1389|ydbR	protein-coding
b1398	paaK	ECK1395	protein-coding
b1765	ydjA	ECK1763	protein-coding
b1400	paaY	ECK1397|ydbZ	protein-coding
b1399	paaX	ECK1396|ydbY	protein-coding
b1403	insC2	ECK0357|yi21-2	protein-coding
b1404	insI2	ECK0258|tra8-2	protein-coding
b1326	mpaA	ECK1322|ycjI	protein-coding
b1410	ynbC	ECK1403	protein-coding
b1313	ycjQ	ECK1308	protein-coding
b1409	ynbB	ECK1402	protein-coding
b1408	ynbA	ECK1401	protein-coding
b1491	digH	ECK1485|yddW	protein-coding
b1442	ydcU	ECK1436	protein-coding
b1110	ycfJ	ECK1096	protein-coding
b0570	cusS	ECK0562|ybcZ	protein-coding
b1430	tehB	ECK1423	protein-coding
b1406	pdxI	ECK1399|ydbC	protein-coding
b1497	ydeM	ECK1491	protein-coding
b1737	chbC	ECK1735|celB|hic	protein-coding
b1407	ydbD	ECK1400	protein-coding
b2204	napH	ECK2196|yejZ	protein-coding
b1411	ynbD	ECK1404	protein-coding
b1419	ydcA	ECK1411	protein-coding
b1591	dmsD	ECK1586|ynfI	protein-coding
b1327	ycjY	ECK1324	protein-coding
b4532	hicA	ECK1431|yncN	protein-coding
b1436	yncJ	ECK1430	protein-coding
b1423	ydcJ	ECK1417	protein-coding
b1549	ydfO	ECK1543	protein-coding
b1435	rlhA	ECK1429|ydcP	protein-coding
b1424	opgD	ECK1418|mdoD|ydcG|yzzZ	protein-coding
b1421	trg	ECK1415	protein-coding
b1426	ydcH	ECK1419	protein-coding
b1427	rimL	ECK1420	protein-coding
b1468	narZ	ECK1462|chlZ	protein-coding
b1434	sutR	ECK1428|ydcN	protein-coding
b1438	hicB	ECK1432|ydcQ	protein-coding
b1484	ddpD	ECK1478|yddP	protein-coding
b1091	fabH	ECK1077	protein-coding
b1439	ydcR	ECK1433	protein-coding
b1440	ydcS	ECK1434	protein-coding
b1452	yncE	ECK1446	protein-coding
b1441	ydcT	ECK1435	protein-coding
b1447	ydcZ	ECK1441	protein-coding
b1621	malX	ECK1616	protein-coding
b1448	mnaT	ECK1442|yncA	protein-coding
b1393	paaF	ECK1390|ydbR|ydbS	protein-coding
b1449	curA	ECK1443|yncB	protein-coding
b1325	ycjG	ECK1321|ycjH	protein-coding
b1450	mcbR	ECK1444|yncC	protein-coding
b1451	pqqU	ECK1445|yncD	protein-coding
b0970	yccA	ECK0961	protein-coding
b0063	araB	ECK0064	protein-coding
b0112	aroP	ECK0111|aroR	protein-coding
b1453	ansP	ECK1447|yncF	protein-coding
b1483	ddpF	ECK1477|yddO	protein-coding
b1548	nohA	ECK1541|nohQ	protein-coding
b2803	fucK	ECK2798	protein-coding
b1454	yncG	ECK1448	protein-coding
b1455	yncH	ECK1449	protein-coding
b0877	ybjX	ECK0868	protein-coding
b1456	rhsE	ECK1450	pseudo
b2792	yqcC	ECK2786	protein-coding
b1485	ddpC	ECK1479|yddQ	protein-coding
b1465	narV	ECK1459|chlZ	protein-coding
b1480	sra	ECK1474|rpsV	protein-coding
b1479	maeA	ECK1473|sfcA	protein-coding
b1466	narW	ECK1460|chlZ	protein-coding
b2748	ftsB	ECK2743|ygbQ	protein-coding
b1467	narY	ECK1461|chlZ	protein-coding
b1474	fdnG	ECK1468	protein-coding
b1478	adhP	ECK1472|yddN	protein-coding
b2816	metV	ECK2812|metX|metZ-beta|metZb|metZbeta	tRNA
b1476	fdnI	ECK1470	protein-coding
b0239	frsA	ECK0240|yafA	protein-coding
b1477	yddM	ECK1471	protein-coding
b1481	bdm	ECK1475|yddX	protein-coding
b1505	ydeT	ECK1498|fmlC	protein-coding
b1482	osmC	ECK1476	protein-coding
b1486	ddpB	ECK1480|yddR	protein-coding
b0698	kdpA	ECK0686|kac	protein-coding
b0191	arfB	ECK0191|yaeJ	protein-coding
b1504	ydeS	ECK1497	protein-coding
b1828	yebQ	ECK1827	protein-coding
b1503	ydeR	ECK1496	protein-coding
b1502	ydeQ	ECK1495	protein-coding
b3024	ygiW	ECK3015|visP	protein-coding
b1487	ddpA	ECK1481|yddS	protein-coding
b2474	tmcA	ECK2470|ypfI	protein-coding
b1550	gnsB	ECK1544|ydfY	protein-coding
b1501	ydeP	ECK1494	protein-coding
b0441	ppiD	ECK0435|ybaU	protein-coding
b1492	gadC	ECK1486|acsA|xasA	protein-coding
b1493	gadB	ECK1487	protein-coding
b1494	pqqL	ECK1488|pqqE|pqqM|yddC	protein-coding
b1546	tfaQ	ECK1539|ydfM	protein-coding
b1500	safA	ECK4475|yneN	protein-coding
b1373	tfaR	ECK1368|ynaC	protein-coding
b1506	yneL	ECK1499	pseudo
b1507	hipA	ECK1500	protein-coding
b1508	hipB	ECK1501	protein-coding
b4268	idnK	ECK4261|gntV	protein-coding
b1537	ydeJ	ECK1530	protein-coding
b1536	ydeI	ECK1529	protein-coding
b1511	lsrK	ECK1504|ydeV	protein-coding
b1512	lsrR	ECK1505|ydeW	protein-coding
b1517	lsrF	ECK1510|yneB	protein-coding
b0075	leuL	ECK0077|leuIP|leuLP|leulL|leulLP	protein-coding
b1518	lsrG	ECK1511|yneC	protein-coding
b1519	tam	ECK1512|lsrE|yneD	protein-coding
b1535	dgcZ	ECK1528|ydeG|ydeH	protein-coding
b1829	htpX	ECK1828	protein-coding
b1660	punC	ECK1656|ydhC	protein-coding
b1375	ynaE	ECK1370	protein-coding
b1526	ptrR	ECK1519|yneJ	protein-coding
b1527	yneK	ECK1520	protein-coding
b1533	eamA	ECK1526|ydeD	protein-coding
b1571	ydfA	ECK1565	protein-coding
b1534	ydeE	ECK1527|ydeF	protein-coding
b1538	dcp	ECK1531	protein-coding
b1539	ydfG	ECK1532	protein-coding
b1832	msrC	ECK1831|yebR	protein-coding
b1540	rspR	ECK1533|ydfH	protein-coding
b1545	pinQ	ECK1538|ydfL	protein-coding
b4387	ytjB	ECK4379|smp	protein-coding
b1558	cspF	ECK1552	protein-coding
b1557	cspB	ECK1551	protein-coding
b0304	rclA	ECK0303|ykgC	protein-coding
b1556	essQ	ECK1550|ydfS	protein-coding
b1878	flhE	ECK1879	protein-coding
b1555	ydfR	ECK1549	protein-coding
b1830	prc	ECK1829|tsp	protein-coding
b1551	ynfN	ECK1545	protein-coding
b1547	stfQ	ECK1540|ydfN	protein-coding
b1552	cspI	ECK1546|cspJ	protein-coding
b1554	rrrQ	ECK1548|ydfQ	protein-coding
b1553	rzpQ	ECK1547|ydfP	protein-coding
b1576	ydfD	ECK1570	protein-coding
b1559	ydfT	ECK1553|quuQ	protein-coding
b1060	bssS	ECK1045|yceP	protein-coding
b1514	lsrC	ECK1507|ydeY	protein-coding
b0484	copA	ECK0478|ybaR	protein-coding
b1573	ydfC	ECK1567	protein-coding
b1560	ydfU	ECK1554	protein-coding
b1561	rem	ECK1555	protein-coding
b1575	dicB	ECK1569|ftsT	protein-coding
b1567	ydfW	ECK1561|intK	protein-coding
b1568	ydfX	ECK1562	protein-coding
b1577	ydfE	ECK1571	pseudo
b2766	ygcN	ECK2761	protein-coding
b1180	ycgM	ECK1168	protein-coding
b2780	pyrG	ECK2774	protein-coding
b1584	speG	ECK1579	protein-coding
b1578	insD7	ECK1572|insD	pseudo
b1583	ynfB	ECK1578	protein-coding
b1569	dicC	ECK1563|ftsT	protein-coding
b1397	paaJ	ECK1394|ydbW	protein-coding
b0172	frr	ECK0171|rrf	protein-coding
b2623	yfjH	ECK2619	protein-coding
b0703	ybfO	ECK0691	pseudo
b1582	ynfA	ECK1577	protein-coding
b1581	rspA	ECK1576	protein-coding
b1580	rspB	ECK1575	protein-coding
b1682	sufC	ECK1678|ynhD	protein-coding
b1827	kdgR	ECK1826|yebP	protein-coding
b1579	intQ	ECK1573	pseudo
b1585	ynfC	ECK1580	protein-coding
b0871	poxB	ECK0862	protein-coding
b1586	ynfD	ECK1581	protein-coding
b1630	rsxD	ECK1626|ydgO	protein-coding
b1587	ynfE	ECK1582	protein-coding
b1595	ynfL	ECK1590	protein-coding
b1629	rsxC	ECK1625|ydgN	protein-coding
b1596	ynfM	ECK1591|yzyC	protein-coding
b1600	mdtJ	ECK1595|ydgF	protein-coding
b1574	dicF	ECK1568	ncRNA
b1763	topB	ECK1761|mutR	protein-coding
b1601	tqsA	ECK1596|ydgG	protein-coding
b0261	mmuM	ECK0263|yagD	protein-coding
b1602	pntB	ECK1597	protein-coding
b1056	yceI	ECK1041	protein-coding
b1628	rsxB	ECK1624|ydgM	protein-coding
b1611	fumC	ECK1606	protein-coding
b1627	rsxA	ECK1623|ydgL	protein-coding
b1617	uidA	ECK1612|gurA|gusA	protein-coding
b1618	uidR	ECK1613|gusR	protein-coding
b1619	hdhA	ECK1614|hsd|hsdH	protein-coding
b1625	cnu	ECK1621|ydgT	protein-coding
b0091	murC	ECK0092	protein-coding
b1626	ydgK	ECK1622|rsxP	protein-coding
b1177	ycgJ	ECK1165	protein-coding
b1653	lhr	ECK1649|rhlF	protein-coding
b1798	leuE	ECK1796|yeaS	protein-coding
b1631	rsxG	ECK1627|ydgP	protein-coding
b1652	rnt	ECK1648	protein-coding
b2622	intA	ECK2618|intX|slpA	protein-coding
b1651	gloA	ECK1647	protein-coding
b1636	pdxY	ECK1632|ydgS	protein-coding
b0552	insH2	ECK0261|trs5-2|yi52_2	protein-coding
b1650	nemA	ECK1646|ydhN	protein-coding
b1090	plsX	ECK1076	protein-coding
b1649	nemR	ECK1645|ydhM	protein-coding
b1642	slyA	ECK1638	protein-coding
b1648	ydhL	ECK1644	protein-coding
b1654	grxD	ECK1650|ydhD	protein-coding
b1665	valV	ECK1661	tRNA
b1523	yneG	ECK1516	protein-coding
b1614	ydgA	ECK1609	protein-coding
b1679	sufE	ECK1675|ynhA	protein-coding
b1678	ldtE	ECK1674|ynhG	protein-coding
b1677	lpp	ECK1673|mlpA	protein-coding
b1572	ydfB	ECK1566	protein-coding
b1667	ydhR	ECK1663	protein-coding
b0595	entB	ECK0588|entG	protein-coding
b1676	pykF	ECK1672	protein-coding
b1675	fumD	ECK1671|ydhZ	protein-coding
b1689	ydiL	ECK1687	protein-coding
b0995	torR	ECK0986	protein-coding
b1688	ydiK	ECK1685	protein-coding
b1532	marB	ECK1525	protein-coding
b1680	sufS	ECK1676|csdB|ynhB	protein-coding
b0508	hyi	ECK0501|gip|ybbG	protein-coding
b0485	glsA	ECK0479|ybaS	protein-coding
b1520	yneE	ECK1513	protein-coding
b1687	ydiJ	ECK1684	protein-coding
b1686	menI	ECK1683|ydiI	protein-coding
b1293	sapB	ECK1288	protein-coding
b1462	yddH	ECK1456	protein-coding
b2776	ygcE	ECK2770	protein-coding
b1685	ydiH	ECK1682	protein-coding
b2802	fucI	ECK2797	protein-coding
b1690	ydiM	ECK1688	protein-coding
b0210	yafE	ECK0210	protein-coding
b1691	ydiN	ECK1689	protein-coding
b1608	rstA	ECK1603|urpT	protein-coding
b1692	ydiB	ECK1690	protein-coding
b0657	lnt	ECK0649|cutE	protein-coding
b1297	puuA	ECK1292|ycjK	protein-coding
b1291	sapD	ECK1286|trkE	protein-coding
b1260	trpA	ECK1254|try|tryp	protein-coding
b1705	ydiE	ECK1703	protein-coding
b0980	appA	ECK0971	protein-coding
b1703	ppsR	ECK1701|ydiA	protein-coding
b1366	ydaY	ECK1364	protein-coding
b1702	ppsA	ECK1700|pps	protein-coding
b1693	aroD	ECK1691	protein-coding
b1694	ydiF	ECK1692	protein-coding
b1699	ydiS	ECK1697	protein-coding
b1701	fadK	ECK1699|ydiD	protein-coding
b1700	ydiT	ECK1698	protein-coding
b1414	ydcF	ECK1407	protein-coding
b1054	lpxL	ECK1039|htrB|waaM	protein-coding
b1707	rflP	ECK1705|ydiV	protein-coding
b1722	ydiY	ECK1720	protein-coding
b1706	selO	ECK1704|ydiU	protein-coding
b1708	nlpC	ECK1706	protein-coding
b1758	ynjF	ECK1756	protein-coding
b1719	thrS	ECK1717	protein-coding
b1714	pheS	ECK1712|phe-act	protein-coding
b1229	tpr	ECK1224	protein-coding
b1718	infC	ECK1716|fit|srjA	protein-coding
b1179	ycgL	ECK1167	protein-coding
b0962	helD	ECK0953|srjB	protein-coding
b1254	yciB	ECK1248	protein-coding
b1704	aroH	ECK1702	protein-coding
b1723	pfkB	ECK1721	protein-coding
b1733	chbG	ECK1731|celG|ydjC	protein-coding
b1724	ydiZ	ECK1722	protein-coding
b2453	eutG	ECK2448|yffV	protein-coding
b1732	katE	ECK1730	protein-coding
b1731	cedA	ECK1729|ydjP	protein-coding
b1725	yniA	ECK1723	protein-coding
b1730	ydjO	ECK1728	protein-coding
b1729	tcyP	ECK1727|ydjN	protein-coding
b1762	ynjI	ECK1760	protein-coding
b3008	metC	ECK3000	protein-coding
b1570	dicA	ECK1564|ftsT	protein-coding
b0411	tsx	ECK0405|T6rec|nupA	protein-coding
b0577	ybdG	ECK0569	protein-coding
b1736	chbA	ECK1734|celC	protein-coding
b1742	ves	ECK1740|ydjR	protein-coding
b0805	fiu	ECK0794|ybiL	protein-coding
b1735	chbR	ECK1733|celD	protein-coding
b1751	ydjY	ECK1749	protein-coding
b2517	rlmN	ECK2513|yfgB	protein-coding
b1750	ydjX	ECK1748	protein-coding
b3074	ygjH	ECK3064	protein-coding
b0996	torC	ECK0987	protein-coding
b1743	spy	ECK1741	protein-coding
b1749	xthA	ECK1747|xth	protein-coding
b1748	astC	ECK1746|argM|cstC|ydjW	protein-coding
b1744	astE	ECK1742|ydjS	protein-coding
b0641	lptE	ECK0634|rlpB	protein-coding
b1745	astB	ECK1743|ydjT	protein-coding
b1746	astD	ECK1744|ydjU	protein-coding
b1747	astA	ECK1745|ydjV	protein-coding
b0058	rluA	ECK0059|yabO	protein-coding
b1394	paaG	ECK1391|ydbT	protein-coding
b1515	lsrD	ECK1508|ydeZ	protein-coding
b2852	ygeH	ECK2850	protein-coding
b1734	chbF	ECK1732|celF|ydjD	protein-coding
b0997	torA	ECK0988	protein-coding
b0591	entS	ECK0584|ybdA	protein-coding
b1752	ydjZ	ECK1750	protein-coding
b1753	ynjA	ECK1751	protein-coding
b1754	ynjB	ECK1752	protein-coding
b1770	ydjF	ECK1768	protein-coding
b1755	ynjC	ECK1753	protein-coding
b1769	ydjE	ECK1767	protein-coding
b1768	pncA	ECK1766|nam|ydjB	protein-coding
b1759	nudG	ECK1757|orf135|ynjG	protein-coding
b1767	ansA	ECK1765	protein-coding
b1760	ynjH	ECK1758	protein-coding
b1766	sppA	ECK1764	protein-coding
b2964	nupG	ECK2959|gru	protein-coding
b1771	ydjG	ECK1769	protein-coding
b0260	mmuP	ECK0262|ykfD	protein-coding
b1772	ydjH	ECK1770	protein-coding
b0209	yafD	ECK0209	protein-coding
b1296	puuP	ECK1291|ycjJ	protein-coding
b0572	cusC	ECK0564|ibeB|ylcB	protein-coding
b0994	torT	ECK0985|yccH	protein-coding
b1786	dgcJ	ECK1784|yeaJ	protein-coding
b1773	ydjI	ECK1771	protein-coding
b1774	ydjJ	ECK1772	protein-coding
b1775	ydjK	ECK1773	protein-coding
b1788	yoaI	ECK1786	protein-coding
b0992	yccM	ECK0983	protein-coding
b1784	yeaH	ECK1782	protein-coding
b1783	yeaG	ECK1781	protein-coding
b0518	fdrA	ECK0511|ylbD	protein-coding
b1776	ydjL	ECK1774	protein-coding
b1072	flgA	ECK1057|flaU	protein-coding
b1782	mipA	ECK1780|yeaF	protein-coding
b1781	yeaE	ECK1779	protein-coding
b1787	yeaK	ECK1785	protein-coding
b1807	tsaB	ECK1805|yeaZ	protein-coding
b1808	yoaA	ECK1806	protein-coding
b0068	thiB	ECK0069|sfuA|tbpA|yabL	protein-coding
b1789	yeaL	ECK1787	protein-coding
b1810	yoaC	ECK1808	protein-coding
b1791	nimT	ECK1789|yeaN	protein-coding
b1793	yoaF	ECK1791	protein-coding
b1795	yeaQ	ECK1793	protein-coding
b1806	yeaY	ECK1804	protein-coding
b1377	ompN	ECK1372|ynaG	protein-coding
b1796	yoaG	ECK1794	protein-coding
b1380	ldhA	ECK1377|hslF|hslI|htpH	protein-coding
b1799	dmlR	ECK1797|yeaT	protein-coding
b1797	yeaR	ECK1795	protein-coding
b3636	rpmG	ECK3626	protein-coding
b1800	dmlA	ECK1798|ttuC|yeaU	protein-coding
b2189	proL	ECK2183|proW	tRNA
b0090	murG	ECK0091	protein-coding
b0089	ftsW	ECK0090	protein-coding
b1126	potA	ECK1112	protein-coding
b0092	ddlB	ECK0093|ddl	protein-coding
b1802	yeaW	ECK1800	protein-coding
b1129	phoQ	ECK1115	protein-coding
b1805	fadD	ECK1803|oldD	protein-coding
b1804	rnd	ECK1802	protein-coding
b1803	yeaX	ECK1801	protein-coding
b1813	nudL	ECK1811|yeaB	protein-coding
b1814	sdaA	ECK1812	protein-coding
b1818	manY	ECK1816|pel|ptsP|ptsX	protein-coding
b1127	pepT	ECK1113	protein-coding
b1817	manX	ECK1815|gptB|mpt|ptsL|ptsX	protein-coding
b1816	yoaE	ECK1814	protein-coding
b1815	pdeD	ECK1813|yoaD	protein-coding
b1812	pabB	ECK1810	protein-coding
b1824	yobF	ECK1822	protein-coding
b1823	cspC	ECK1821|msmB	protein-coding
b1822	rlmA	ECK1820|rrmA|yebH	protein-coding
b1821	mntP	ECK1819|yebN	protein-coding
b1819	manZ	ECK1817|gptB|mpt|ptsM|ptsX	protein-coding
b1820	yobD	ECK1818	protein-coding
b1185	dsbB	ECK1173|dsbX|iarB|rosB|roxB|ycgA	protein-coding
b3005	exbD	ECK2998	protein-coding
b1811	yoaH	ECK1809	protein-coding
b1836	yebV	ECK1835	protein-coding
b1835	rsmF	ECK1834|yebU	protein-coding
b1717	rpmI	ECK1715	protein-coding
b1825	yebO	ECK1823	protein-coding
b1826	mgrB	ECK1824|yobG	protein-coding
b1834	letB	ECK1833|yebT	protein-coding
b1833	letA	ECK1832|yebS	protein-coding
b1837	yebW	ECK1836	protein-coding
b1846	yebE	ECK1847	protein-coding
b1838	pphA	ECK1837|prpA|yebX	protein-coding
b1809	yoaB	ECK1807	protein-coding
b1845	ptrB	ECK1846|tlp	protein-coding
b1184	umuC	ECK1172|uvm	protein-coding
b0622	pagP	ECK0615|crcA|ybeG	protein-coding
b1844	exoX	ECK1845|yobC	protein-coding
b1851	edd	ECK1852	protein-coding
b1847	yebF	ECK1848	protein-coding
b1848	yebG	ECK1849	protein-coding
b1188	ycgB	ECK1176	protein-coding
b1785	cdgI	ECK1783|yeaI	protein-coding
b1850	eda	ECK1851|hga|kdgA|kga	protein-coding
b1849	purT	ECK1850	protein-coding
b1861	ruvA	ECK1862	protein-coding
b1852	zwf	ECK1853	protein-coding
b1860	ruvB	ECK1861	protein-coding
b1859	znuB	ECK1860|yebI	protein-coding
b1853	yebK	ECK1854|hexR(P.a.)	protein-coding
b1858	znuC	ECK1859|yebM	protein-coding
b1857	znuA	ECK1858|yebL|yzzP	protein-coding
b1856	mepM	ECK1857|yebA	protein-coding
b1862	yebB	ECK1863	protein-coding
b1863	ruvC	ECK1864	protein-coding
b1864	yebC	ECK1865	protein-coding
b1870	cmoA	ECK1871|yecO	protein-coding
b1869	yecN	ECK1870	protein-coding
b1868	yecE	ECK1869	protein-coding
b1865	nudB	ECK1866|ntpA|yebD	protein-coding
b1867	yecD	ECK1868	protein-coding
b1866	aspS	ECK1867|tls	protein-coding
b1904	yecR	ECK1903	protein-coding
b1871	cmoB	ECK1872|yecP	protein-coding
b4537	yecJ	ECK1901	protein-coding
b1872	torZ	ECK1873|bisZ	protein-coding
b1879	flhA	ECK1880|flaH	protein-coding
b1880	flhB	ECK1881|flaG|yecQ	protein-coding
b1881	cheZ	ECK1882	protein-coding
b1882	cheY	ECK1883	protein-coding
b1883	cheB	ECK1884	protein-coding
b0613	citG	ECK0606|ybdT	protein-coding
b1884	cheR	ECK1885|cheX	protein-coding
b1885	tap	ECK1886	protein-coding
b0767	pgl	ECK0756|ybhE	protein-coding
b1886	tar	ECK1887|cheM	protein-coding
b1887	cheW	ECK1888	protein-coding
b1888	cheA	ECK1889	protein-coding
b1889	motB	ECK1890|flaJ	protein-coding
b1996	insD3	ECK0358|yi22-3	protein-coding
b1895	uspC	ECK1894|yecG	protein-coding
b1896	otsA	ECK1895	protein-coding
b1897	otsB	ECK1896|otsP	protein-coding
b1902	ftnB	ECK1900|yecI	protein-coding
b1900	araG	ECK1898	protein-coding
b1901	araF	ECK1899	protein-coding
b1905	ftnA	ECK1904|ftn|gen-165|rsgA	protein-coding
b1906	yecH	ECK1905	protein-coding
b1907	tyrP	ECK1906	protein-coding
b2769	ygcQ	ECK2764	protein-coding
b1910	cysT	ECK1909	tRNA
b1875	yecM	ECK1876|yecL	protein-coding
b1911	glyW	ECK1910|ins|mutC|suA58|suA78	tRNA
b0658	ybeX	ECK0650	protein-coding
b2336	yfcS	ECK2330	protein-coding
b2357	yfdN	ECK2351|yzyA	protein-coding
b1915	yecF	ECK1914	protein-coding
b1916	sdiA	ECK1915	protein-coding
b1917	tcyN	ECK1916|yecC	protein-coding
b1946	fliN	ECK1944|motD	protein-coding
b1914	uvrY	ECK1913|yecB	protein-coding
b0242	proB	ECK0243|pro(2)|pro2	protein-coding
b2362	yfdS	ECK2356	protein-coding
b4291	fecA	ECK4281	protein-coding
b1924	fliD	ECK1923|flbC|rfs	protein-coding
b1925	fliS	ECK1924	protein-coding
b0659	ybeY	ECK0651	protein-coding
b1033	ghrA	ECK1019|ycdW	protein-coding
b2371	yfdE	ECK2367	protein-coding
b1926	fliT	ECK1925	protein-coding
b1927	amyA	ECK1926|yedC	protein-coding
b1931	yedK	ECK1930|yedG	protein-coding
b1598	ydgD	ECK1593	protein-coding
b1932	yedL	ECK1931	protein-coding
b0433	ampG	ECK0427	protein-coding
b0215	dnaQ	ECK0215|mutD	protein-coding
b1945	fliM	ECK1943|cheC2|fla|flaA|flaAII|flaQ|flaQII	protein-coding
b1944	fliL	ECK1942|cheC1|flaAI|flaQI	protein-coding
b1936	intG	ECK1934	pseudo
b1937	fliE	ECK1935|fla|flaAI|flaN	protein-coding
b3039	ygiD	ECK3030	protein-coding
b1938	fliF	ECK1936|flaAII.1|flaBI	protein-coding
b1943	fliK	ECK1941|flaE	protein-coding
b3027	ygiZ	ECK3018	protein-coding
b1939	fliG	ECK1937|flaAII.2|flaBII	protein-coding
b1876	argS	ECK1877|lov|lov-1	protein-coding
b0415	ribE	ECK0409|nusIII|ribH|ybaF	protein-coding
b1942	fliJ	ECK1940|flaO	protein-coding
b1997	insC3	ECK0357|yi21-3	protein-coding
b1940	fliH	ECK1938|flaAII.3|flaBIII	protein-coding
b1941	fliI	ECK1939|fla|flaAIII|flaC	protein-coding
b1947	fliO	ECK1945|flbD	protein-coding
b2103	thiD	ECK2096|thiA|thiJ	protein-coding
b3550	yiaC	ECK3537	protein-coding
b1959	yedA	ECK1957	protein-coding
b1948	fliP	ECK1946|flaR	protein-coding
b1949	fliQ	ECK1947|flaQ	protein-coding
b1950	fliR	ECK1948|flaP	protein-coding
b1958	yedI	ECK1956	protein-coding
b1957	yodC	ECK1955	protein-coding
b1951	rcsA	ECK1949|cpsR	protein-coding
b1952	dsrB	ECK1950	protein-coding
b1953	yodD	ECK1951	protein-coding
b1954	dsrA	ECK1952	ncRNA
b1956	dgcQ	ECK1954|yedQ	protein-coding
b1955	yedP	ECK1953	protein-coding
b1960	vsr	ECK1958	protein-coding
b1963	drpB	ECK1961|yedR	protein-coding
b1962	yedJ	ECK1960	protein-coding
b1961	dcm	ECK1959|mec	protein-coding
b1973	zinT	ECK1969|yodA	protein-coding
b1967	hchA	ECK1963|yedU|yzzC	protein-coding
b1697	ydiQ	ECK1695	protein-coding
b1972	msrQ	ECK1968|yedZ	protein-coding
b1971	msrP	ECK1967|yedY	protein-coding
b1970	hiuH	ECK1966|yedX	protein-coding
b1969	hprR	ECK1965|yedW	protein-coding
b1968	hprS	ECK1964|yedV	protein-coding
b1977	asnT	ECK1973	tRNA
b1976	mtfA	ECK1972|yeeI	protein-coding
b1873	torY	ECK1874|yecK	protein-coding
b1974	yodB	ECK1970	protein-coding
b1975	serU	ECK1971|Su-1|ftsM|su1|supD|supH	tRNA
b1983	yeeN	ECK1978	protein-coding
b1984	asnW	ECK1979	tRNA
b1981	shiA	ECK1976|yeeM	protein-coding
b1978	yeeJ	ECK1974	protein-coding
b1644	ydhJ	ECK1640	protein-coding
b1019	efeB	ECK1009|ycdB	protein-coding
b1988	nac	ECK1983	protein-coding
b1987	cbl	ECK1982	protein-coding
b1986	asnU	ECK1981	tRNA
b0959	sxy	ECK0950|yccR	protein-coding
b1757	ynjE	ECK1755	protein-coding
b1985	yeeO	ECK1980	protein-coding
b1994	insH6	ECK0261|trs5-6|yi52_6	protein-coding
b1982	amn	ECK1977	protein-coding
b1989	asnV	ECK1984	tRNA
b2004	cbeA	ECK1997|yeeU	protein-coding
b1877	yecT	ECK1878	protein-coding
b2001	yeeR	ECK1994	protein-coding
b2003	yeeT	ECK1996	protein-coding
b2002	yeeS	ECK1995	protein-coding
b2026	hisI	ECK2021|hisE|hisIE	protein-coding
b2025	hisF	ECK2020	protein-coding
b1991	cobT	ECK1986	protein-coding
b2010	dacD	ECK2004|phsE|yeeC	protein-coding
b1993	cobU	ECK1988	protein-coding
b1992	cobS	ECK1987	protein-coding
b2024	hisA	ECK2019	protein-coding
b1999	yeeP	ECK1991	pseudo
b1379	hslJ	ECK1376|ydbI	protein-coding
b2013	tsuA	ECK2007|yeeE	protein-coding
b1854	pykA	ECK1855	protein-coding
b1645	ydhK	ECK1641	protein-coding
b2011	sbcB	ECK2005|cpeA|exoI|rmuA|xonA	protein-coding
b0220	ivy	ECK0221|ykfE	protein-coding
b2020	hisD	ECK2015	protein-coding
b2015	yeeY	ECK2009	protein-coding
b2014	plaP	ECK2008|yeeF	protein-coding
b2005	cbtA	ECK1998|yeeV	protein-coding
b2006	yeeW	ECK1999	protein-coding
b0130	yadE	ECK0129	protein-coding
b0718	ybgQ	ECK0707	protein-coding
b2016	yeeZ	ECK2010	protein-coding
b2012	tsuB	ECK2006|yeeD	protein-coding
b2000	flu	ECK1993|agn|agn43|yeeQ|yzzX	protein-coding
b2007	tmaR	ECK2001|yeeX	protein-coding
b2017	yefM	ECK2012	protein-coding
b2055	wcaE	ECK2049	protein-coding
b2023	hisH	ECK2018	protein-coding
b2008	yeeA	ECK2002	protein-coding
b2009	sbmC	ECK2003|dgi|gyrI|yeeB	protein-coding
b2018	hisL	ECK2013	protein-coding
b0339	cynT	ECK0336	protein-coding
b2019	hisG	ECK2014	protein-coding
b2056	wcaD	ECK2050	protein-coding
b2021	hisC	ECK2016	protein-coding
b2022	hisB	ECK2017	protein-coding
b2027	wzzB	ECK2022|cld|rol|wzz	protein-coding
b2029	gnd	ECK2024	protein-coding
b2032	wbbK	ECK2026|yefI	protein-coding
b2033	wbbJ	ECK2027|yefH	protein-coding
